Time,Photoresistor,Humidity in %,Temperature in C°,CO2 in ppm,Soil Moisture in %
21:44:14,155,58.30,25.40,766,153

21:44:15,155,58.30,25.40,766,153

21:44:16,155,58.10,25.40,766,153

21:44:17,155,58.10,25.40,766,153

21:44:19,155,58.00,25.40,766,153

21:44:20,154,58.00,25.40,766,153

21:44:21,155,57.90,25.40,766,153

21:44:22,154,57.90,25.40,765,153

21:44:23,154,57.90,25.40,765,153

21:44:24,154,57.90,25.40,765,153

21:44:25,154,57.80,25.40,765,153

21:44:26,151,57.80,25.40,765,154

21:44:27,151,57.80,25.40,765,154

21:44:28,151,57.80,25.40,766,154

21:44:29,151,57.70,25.40,766,154

21:44:30,151,57.70,25.40,766,154

21:44:31,151,57.70,25.40,766,153

21:44:32,151,57.70,25.40,766,153

21:44:33,151,57.80,25.40,766,154

21:44:34,151,57.80,25.40,766,154

21:44:35,152,57.80,25.40,766,154

21:44:36,152,57.80,25.40,766,154

21:44:37,152,57.90,25.40,766,154

21:44:38,152,57.90,25.40,766,153

21:44:39,152,57.90,25.40,766,154

21:44:40,152,57.90,25.40,766,153

21:44:41,153,58.00,25.40,766,153

21:44:42,158,58.00,25.40,766,152

21:44:43,158,58.00,25.40,766,152

21:44:44,157,58.00,25.40,766,152

21:44:45,156,57.90,25.40,766,152

21:44:46,156,57.90,25.40,766,152

21:44:47,155,57.90,25.40,766,153

21:44:48,155,57.90,25.40,766,153

21:44:49,155,57.90,25.40,766,152

21:44:50,155,57.90,25.40,766,153

21:44:51,155,58.00,25.40,767,153

21:44:52,155,58.00,25.40,767,152

21:44:54,154,58.00,25.40,767,153

21:44:55,154,58.00,25.40,767,153

21:44:56,154,58.10,25.40,767,152

21:44:57,154,58.10,25.40,767,153

21:44:58,154,58.20,25.40,767,153

21:44:59,151,58.20,25.40,767,153

21:45:0,151,58.20,25.40,767,153

21:45:1,151,58.20,25.40,767,153

21:45:2,151,58.30,25.40,767,153

21:45:3,151,58.30,25.40,767,153

21:45:4,151,58.40,25.40,767,153

21:45:5,151,58.40,25.40,767,153

21:45:6,151,58.50,25.40,767,153

21:45:7,151,58.50,25.40,767,153

21:45:8,152,58.50,25.30,767,153

21:45:9,152,58.50,25.30,767,153

21:45:10,152,58.50,25.40,767,153

21:45:11,152,58.50,25.40,767,153

21:45:12,153,58.50,25.40,767,153

21:45:13,153,58.50,25.40,767,153

21:45:14,153,58.40,25.40,767,153

21:45:15,158,58.40,25.40,767,152

21:45:16,158,58.40,25.40,767,152

21:45:17,156,58.40,25.40,767,152

21:45:18,156,58.30,25.40,767,152

21:45:19,155,58.30,25.40,767,152

21:45:20,156,58.10,25.40,767,152

21:45:21,155,58.10,25.40,767,153

21:45:22,155,58.00,25.40,767,153

21:45:23,155,58.00,25.40,767,153

21:45:24,155,57.90,25.40,767,152

21:45:25,155,57.90,25.40,767,153

21:45:26,155,57.70,25.40,767,153

21:45:27,154,57.70,25.40,767,153

21:45:28,155,57.60,25.40,767,152

21:45:30,154,57.60,25.40,767,152

21:45:31,154,57.50,25.40,767,152

21:45:32,151,57.50,25.40,767,154

21:45:33,151,57.40,25.40,767,153

21:45:34,151,57.40,25.40,767,154

21:45:35,151,57.20,25.30,768,153

21:45:36,151,57.20,25.30,768,153

21:45:37,151,57.20,25.40,767,154

